title,url
Presidential Power and the Modern Presidents The Politics of Leadership from Roosevelt to Reagan by Richard E. Neustadt- google books,https://books.google.com/books/about/Presidential_Power_and_the_Modern_Presid.html?id=elGozulX_o8C
"Rest, Rabbit, Rest  by Jacquelyn Reinach;Richard Hefter- google books",https://www.amazon.com/Rest-Rabbit-Sweet-Pickles/dp/0030420563
Where the Red Fern Grows The Story of Two Dogs and a Boy : with Connections by Wilson Rawls- google books,https://books.google.com/books/about/Where_the_Red_Fern_Grows.html?id=lSye1xUHIJAC
Poppy's Return  by Avi- google books,https://books.google.com/books/about/Poppy_s_Return.html?id=y6tLDwAAQBAJ
Diary of a Spider  by Doreen Cronin- google books,https://books.google.com/books/about/Diary_of_a_Spider.html?id=UWvZo2pIhzMC
An Old-Fashioned Thanksgiving  by Louisa May Alcott;James Bernardin- google books,https://books.google.com/books/about/An_Old_fashioned_Thanksgiving.html?id=Q99XAAAAYAAJ
The Paradox of Choice Why More Is Less by Barry Schwartz- google books,https://books.google.com/books/about/The_Paradox_of_Choice.html?id=zutxr7rGc_QC
How to Read Literature Like a Professor a Lively and Entertaining Guide to Reading Between the Lines by Thomas C. Foster- google books,https://books.google.com/books/about/How_to_Read_Literature_Like_a_Professor.html?id=PKeOyeZdVKwC
The Amazing Maurice and His Educated Rodents  by Terry Pratchett- google books,https://books.google.com/books/about/The_Amazing_Maurice_and_His_Educated_Rod.html?id=WFBBPwAACAAJ
The Wee Free Men  by Terry Pratchett- google books,https://books.google.com/books/about/The_Wee_Free_Men.html?id=3dmjPwAACAAJ
Going Postal A Novel of Discworld by Terry Pratchett- google books,https://books.google.com/books/about/Going_Postal.html?id=ImTXB14VxdsC
Modern Mind An Intellectual History of the 20th Century by Peter Watson- google books,https://books.google.com/books/about/Modern_Mind.html?id=JVdMSavwwHoC
She Went All the Way  by Meg Cabot- google books,https://books.google.com/books/about/She_Went_All_the_Way.html?id=pGFZnFmYc6AC
Island  by Aldous Huxley- google books,https://books.google.com/books/about/Island.html?id=JSZFAAAAYAAJ
